name,parent_id
group1,
group2,
group3,
group4,
group5,
group6,1
group7,1
group8,1
group9,1
group10,1
group11,1
group12,1
group13,1
group14,1
group15,1
group16,1
group17,1
group18,1
group19,1
group20,1
group21,1
group22,1
group23,1
group24,1
group25,1
group26,1
group27,1
group28,1
group29,1
group30,1
group31,1
group32,1
group33,1
group34,1
group35,1
group36,2
group37,2
group38,2
group39,2
group40,2
group41,2
group42,2
group43,2
group44,2
group45,2
group46,2
group47,2
group48,2
group49,2
group50,2
group51,2
group52,2
group53,2
group54,2
group55,2
group56,2
group57,2
group58,2
group59,2
group60,2
group61,2
group62,2
group63,2
group64,2
group65,3
group66,3
group67,3
group68,3
group69,3
group70,3
group71,3
group72,3
group73,3
group74,3
group76,3
group77,3
group78,3
group79,3
group80,3
group81,3
group82,3
group83,3
group84,3
group85,3
group86,3
group87,3
group88,3
group89,3
group90,3
group91,3
group92,3
group93,3
group94,3
group95,3
group96,4
group97,4
group98,4
group99,4
group100,4
group101,4
group102,4
group103,4
group104,4
group105,4
group106,4
group107,4
group108,4
group109,4
group110,4
group111,4
group112,4
group113,4
group114,4
group115,4
group116,4
group117,4
group118,4
group119,4
group120,4
group121,4
group122,4
group123,4
group124,4
group125,4
group126,4
group127,4
group128,4
group129,4
group130,4
group131,5
group132,5
group133,5
group134,5
group135,5
group136,5
group137,5
group138,5
group139,5
group140,5
group141,5
group142,5
group143,5
group144,5
group145,5
group146,5
group147,5
group148,5
group149,5
group150,5
group151,5
group152,5
group153,5
group154,5
group155,5
group156,5
group157,5
group158,5
group159,5
group160,5
